date,software,version,usage_minutes
2025-01-20,mongodb,4.3.3,283
2025-05-10,redis,6.2.9,338
2024-07-07,python,3.2.0,407
2025-04-10,postgres,13.8.7,425
2024-11-25,java,11.4.5,139
2025-05-03,nginx,1.2.4,87
2025-04-06,mongodb,4.0.5,185
2024-06-24,mongodb,4.2.6,264
2024-09-12,java,11.9.4,322
2024-08-16,elasticsearch,7.2.1,343
2025-03-20,node,16.4.1,468
2025-01-04,node,16.6.7,218
2024-09-09,java,11.2.4,343
2024-09-05,mysql,8.1.7,433
2024-07-16,mysql,8.2.4,140
2025-03-15,nginx,1.7.1,241
2025-01-15,postgres,13.8.7,25
2024-07-06,mongodb,4.6.4,348
2024-07-15,java,11.6.6,345
2024-09-01,node,16.2.0,125
2024-12-11,java,11.9.5,332
2025-01-09,java,11.3.7,118
2024-10-22,node,16.2.5,255
2025-02-13,docker,20.3.1,385
2024-07-26,mysql,8.6.1,164
2024-11-30,mongodb,4.5.5,127
2024-06-28,nginx,1.5.7,169
2024-06-10,mysql,8.6.3,296
2025-02-11,docker,20.0.1,161
2024-06-08,mysql,8.4.0,27
2025-02-20,docker,20.9.4,182
2024-08-16,mysql,8.9.8,5
2025-02-14,python,3.2.0,474
2024-07-07,postgres,13.3.3,71
2024-08-09,elasticsearch,7.1.1,194
2024-12-05,mongodb,4.6.2,109
2024-07-26,python,3.0.9,4
2025-01-24,java,11.3.4,331
2025-04-12,nginx,1.0.3,323
2024-11-22,python,3.3.9,187
2025-02-04,node,16.8.1,437
2024-06-13,python,3.0.3,291
2024-07-18,python,3.0.0,136
2024-11-27,mysql,8.1.9,362
2024-07-23,python,3.4.5,117
2024-09-24,node,16.4.3,18
2024-11-15,node,16.9.8,41
2024-07-21,redis,6.7.7,158
2025-04-18,node,16.9.0,327
2024-11-14,elasticsearch,7.1.3,19
2024-08-05,python,3.9.8,324
2024-12-01,mongodb,4.9.8,479
2024-10-21,mongodb,4.6.6,427
2024-08-30,redis,6.7.4,123
2024-08-21,mysql,8.0.0,55
2025-05-20,docker,20.3.3,194
2025-01-12,redis,6.3.2,229
2024-06-05,postgres,13.2.7,17
2025-04-30,elasticsearch,7.8.8,78
2024-10-29,mongodb,4.1.2,474
2025-05-02,redis,6.5.9,190
2024-08-22,mysql,8.7.2,83
2025-03-06,node,16.8.4,21
2024-08-17,java,11.6.9,93
2024-08-04,mongodb,4.3.1,35
2024-10-28,python,3.9.3,131
2024-11-05,redis,6.3.4,155
2024-12-18,java,11.3.2,222
2024-12-28,elasticsearch,7.7.7,457
2024-08-27,mysql,8.0.7,67
2024-07-20,node,16.6.6,342
2024-11-25,redis,6.9.5,434
2025-05-30,mongodb,4.6.3,117
2024-12-05,mysql,8.4.9,33
2024-09-07,java,11.9.0,479
2025-02-16,node,16.4.8,303
2025-03-15,postgres,13.0.6,368
2025-04-08,java,11.4.1,30
2025-05-25,nginx,1.4.8,364
2024-08-06,mysql,8.7.4,401
2024-11-14,redis,6.2.3,97
2025-01-22,java,11.7.0,92
2024-08-22,mongodb,4.4.2,182
2024-12-20,redis,6.0.0,221
2025-01-10,node,16.8.8,231
2024-06-25,java,11.1.1,252
2025-03-05,mysql,8.6.7,155
2025-05-19,redis,6.3.1,10
2024-10-10,node,16.0.0,455
2024-12-27,mongodb,4.0.6,305
2025-01-21,python,3.8.5,328
2024-09-14,elasticsearch,7.9.5,53
2024-08-15,node,16.8.4,352
2024-09-17,mongodb,4.4.2,209
2025-01-29,elasticsearch,7.4.7,270
2024-11-06,nginx,1.9.7,373
2024-08-24,java,11.8.6,7
2024-11-03,python,3.6.0,152
2024-08-15,node,16.3.0,105
2024-08-02,node,16.7.2,464
2025-03-11,mysql,8.6.5,376
2024-12-30,mongodb,4.4.8,177
2024-08-21,node,16.1.6,411
2025-04-19,nginx,1.7.7,193
2025-03-11,postgres,13.0.6,216
2024-09-13,mongodb,4.1.5,313
2024-11-19,elasticsearch,7.7.9,60
2025-04-26,nginx,1.2.5,63
2024-07-08,mysql,8.1.0,471
2025-04-02,postgres,13.1.1,465
2025-03-17,nginx,1.5.0,40
2024-06-29,mongodb,4.3.7,418
2024-06-06,python,3.0.7,115
2024-11-18,docker,20.7.6,65
2024-09-18,mysql,8.6.8,7
2025-02-03,mongodb,4.6.9,366
2025-03-22,python,3.0.8,174
2025-02-07,java,11.6.5,306
2025-05-13,node,16.1.6,125
2025-02-18,elasticsearch,7.5.2,287
2024-07-21,java,11.5.5,372
2025-01-11,node,16.4.5,437
2024-08-09,docker,20.7.0,474
2024-12-22,java,11.6.6,461
2024-09-11,mysql,8.1.9,435
2024-12-07,elasticsearch,7.4.4,183
2025-01-10,postgres,13.6.9,15
2024-06-06,node,16.7.5,309
2025-02-20,node,16.7.9,113
2025-01-21,node,16.4.3,23
2024-12-26,python,3.9.3,5
2025-01-23,postgres,13.3.8,198
2025-04-04,mysql,8.4.2,218
2025-01-03,elasticsearch,7.4.7,467
2024-12-23,elasticsearch,7.7.7,445
2024-07-11,nginx,1.7.4,299
2025-03-13,nginx,1.0.7,342
2024-06-10,nginx,1.7.8,447
2024-08-08,node,16.4.5,368
2025-05-15,elasticsearch,7.4.5,300
2024-08-08,node,16.1.2,464
2025-01-28,elasticsearch,7.9.2,473
2024-11-17,docker,20.8.8,217
2024-10-06,postgres,13.1.8,342
2025-01-09,java,11.6.9,155
2025-05-10,java,11.1.2,412
2025-05-27,elasticsearch,7.8.6,479
2024-06-20,postgres,13.1.0,245
2024-10-05,docker,20.9.7,335
2025-04-11,docker,20.7.6,449
2025-01-11,mongodb,4.1.0,393
2024-10-03,python,3.8.6,303
2025-02-13,node,16.1.9,349
2024-09-24,mongodb,4.1.5,220
2024-09-06,postgres,13.5.7,231
2024-08-13,mysql,8.0.0,90
2024-07-02,python,3.7.3,239
2025-05-16,postgres,13.1.3,247
2024-09-10,elasticsearch,7.9.8,217
2025-02-18,postgres,13.6.4,172
2024-12-31,postgres,13.7.5,84
2024-06-11,redis,6.9.2,131
2025-05-03,redis,6.5.5,9
2024-06-07,mongodb,4.3.1,286
2025-03-24,nginx,1.9.4,159
2024-11-07,postgres,13.4.7,296
2024-06-22,docker,20.8.8,287
2024-10-25,elasticsearch,7.2.2,63
2024-07-10,elasticsearch,7.9.6,163
2025-05-09,postgres,13.3.4,56
2025-01-20,nginx,1.8.3,101
2025-02-08,postgres,13.9.4,223
2024-12-15,elasticsearch,7.8.2,458
2024-10-23,elasticsearch,7.7.7,25
2025-05-30,nginx,1.5.2,192
2024-12-15,nginx,1.4.8,141
2024-07-06,postgres,13.2.1,268
2024-07-31,mysql,8.1.1,216
2024-09-23,mysql,8.9.9,438
2024-11-19,nginx,1.2.0,196
2025-05-19,postgres,13.4.9,389
2025-03-24,node,16.2.7,272
2024-08-15,java,11.0.0,345
2024-08-14,docker,20.7.5,101
2024-10-04,docker,20.2.5,209
2025-04-18,mongodb,4.8.0,32
2024-10-01,mysql,8.5.8,260
2024-11-01,mongodb,4.5.6,172
2025-05-26,mongodb,4.0.7,191
2024-06-04,mongodb,4.9.6,91
2024-12-28,mongodb,4.6.7,342
2025-02-25,mysql,8.4.2,34
2025-04-10,postgres,13.1.5,334
2025-03-19,docker,20.6.1,161
2024-10-09,mongodb,4.2.5,130
2024-12-27,node,16.9.9,168
2024-08-26,node,16.9.4,16
2025-05-21,java,11.9.5,450
2025-01-01,mysql,8.2.7,331
2025-04-10,nginx,1.0.4,194
2025-03-29,java,11.6.8,301
2024-06-02,docker,20.1.4,129
2025-03-11,mysql,8.1.0,175
2024-10-20,elasticsearch,7.9.8,414
2024-11-16,docker,20.4.5,154
2024-11-30,node,16.7.5,319
2024-08-29,python,3.8.1,255
2024-11-12,node,16.0.7,394
2024-12-28,redis,6.8.6,378
2025-01-30,postgres,13.3.0,326
2025-04-09,mysql,8.1.6,442
2024-07-01,redis,6.8.7,143
2025-03-30,nginx,1.4.6,420
2024-08-01,node,16.9.3,44
2024-10-07,node,16.0.7,48
2024-06-19,nginx,1.6.0,312
2024-10-09,java,11.4.3,275
2025-03-22,redis,6.8.2,216
2025-02-23,postgres,13.7.7,281
2024-10-22,mysql,8.6.2,478
2024-12-19,redis,6.3.3,468
2025-02-28,docker,20.7.2,114
2024-07-23,nginx,1.1.3,375
2024-11-17,docker,20.2.5,130
2025-04-12,nginx,1.8.6,444
2024-11-12,java,11.8.5,55
2025-01-19,docker,20.1.8,319
2024-06-29,docker,20.2.7,438
2025-03-30,postgres,13.2.0,159
2024-11-19,nginx,1.2.3,374
2024-09-18,java,11.4.6,68
2024-07-08,node,16.5.0,226
2024-10-11,nginx,1.9.0,376
2024-08-15,elasticsearch,7.2.5,242
2024-11-21,docker,20.7.1,92
2024-09-06,docker,20.9.6,118
2024-07-08,postgres,13.5.3,388
2025-04-06,docker,20.5.3,327
2025-04-21,java,11.4.4,96
2024-11-19,docker,20.6.8,466
2024-08-09,nginx,1.3.7,160
2025-02-24,mongodb,4.4.6,142
2025-05-22,redis,6.8.3,363
2024-09-11,redis,6.4.3,264
2024-08-21,elasticsearch,7.0.3,247
2025-05-22,node,16.6.8,239
2025-05-02,postgres,13.7.8,237
2025-01-25,redis,6.0.0,225
2024-06-07,redis,6.4.6,198
2024-06-17,postgres,13.8.4,119
2024-06-08,mongodb,4.5.2,142
2024-09-10,mongodb,4.5.0,46
2024-09-07,elasticsearch,7.8.1,451
2025-02-27,mysql,8.6.9,311
2024-09-24,redis,6.0.1,45
2025-02-26,nginx,1.8.1,478
2025-01-19,python,3.1.0,53
2025-03-28,docker,20.9.3,412
2024-07-04,docker,20.6.0,304
2024-07-02,docker,20.8.5,123
2024-08-21,mongodb,4.1.5,252
2024-11-18,python,3.6.5,309
2024-06-18,java,11.6.0,401
2024-09-25,elasticsearch,7.4.7,76
2024-09-29,nginx,1.2.9,116
2024-12-31,node,16.8.7,94
2025-01-17,java,11.7.6,386
2024-06-23,nginx,1.7.3,185
2025-05-25,java,11.0.7,286
2025-02-01,nginx,1.1.9,388
2024-11-08,python,3.5.1,27
2025-04-28,nginx,1.2.9,252
2025-04-26,python,3.1.5,51
2025-03-25,nginx,1.6.4,362
2025-02-20,node,16.7.1,76
2024-10-10,redis,6.5.1,373
2025-03-25,elasticsearch,7.6.3,321
2025-01-27,postgres,13.4.5,363
2024-06-08,redis,6.6.7,437
2025-01-16,docker,20.8.9,2
2025-05-01,python,3.9.8,124
2025-04-04,redis,6.1.8,353
2025-02-08,python,3.1.5,155
2024-07-26,docker,20.7.2,476
2025-05-01,node,16.0.3,322
2024-12-27,node,16.9.5,387
2025-02-14,mysql,8.9.7,101
2024-07-05,nginx,1.7.9,354
2024-06-14,elasticsearch,7.5.8,242
2025-03-29,nginx,1.2.3,453
2024-06-06,node,16.3.8,83
2024-06-09,mongodb,4.6.5,477
2024-07-19,node,16.8.3,233
2024-09-05,java,11.2.5,51
2025-05-24,mysql,8.3.8,379
2025-04-09,redis,6.0.5,453
2025-04-10,postgres,13.7.6,207
2025-04-19,docker,20.4.6,446
2025-03-10,elasticsearch,7.3.9,258
2025-03-20,nginx,1.6.0,188
2025-02-15,postgres,13.6.7,294
2025-03-29,java,11.2.8,39
2025-05-25,python,3.6.0,473
2024-07-27,node,16.1.8,55
2025-04-20,mongodb,4.0.6,393
2025-03-08,mysql,8.2.0,359
2025-04-29,java,11.6.6,243
2024-06-11,mongodb,4.9.4,197
2024-11-21,mysql,8.3.7,36
2025-03-19,postgres,13.5.9,8
2024-11-12,mysql,8.1.9,100
2024-06-22,elasticsearch,7.8.6,241
2024-10-05,redis,6.7.1,337
2025-04-08,nginx,1.7.6,121
2024-08-04,elasticsearch,7.1.3,258
2024-07-11,elasticsearch,7.2.5,343
2024-06-16,docker,20.8.8,451
2024-09-11,python,3.6.0,85
2025-01-04,nginx,1.6.8,352
2025-05-18,postgres,13.6.6,345
2025-03-11,mongodb,4.2.7,361
2024-12-29,node,16.9.4,299
2024-07-26,postgres,13.4.9,161
2025-02-01,mysql,8.7.2,353
2024-12-21,node,16.2.4,452
2024-09-05,mysql,8.2.3,116
2025-04-26,nginx,1.8.2,203
2024-08-19,nginx,1.7.9,341
2024-07-12,redis,6.3.9,469
2025-05-20,docker,20.6.9,244
2025-01-10,mongodb,4.5.4,177
2024-12-29,redis,6.2.8,16
2025-01-21,python,3.1.0,51
2024-12-09,postgres,13.2.6,190
2025-05-24,postgres,13.7.9,456
2024-11-09,mongodb,4.8.0,144
2024-11-25,elasticsearch,7.5.2,353
2025-04-22,redis,6.9.2,297
2025-05-24,postgres,13.8.4,268
2024-09-01,docker,20.1.2,122
2024-09-28,docker,20.5.6,447
2024-12-24,postgres,13.1.9,152
2025-04-23,postgres,13.5.5,66
2024-07-23,elasticsearch,7.1.0,244
2024-09-03,mongodb,4.7.8,39
2024-06-24,python,3.4.7,208
2024-10-26,java,11.1.7,331
2025-05-24,elasticsearch,7.5.3,306
2024-09-25,docker,20.0.1,399
2025-01-13,mongodb,4.4.3,374
2025-03-09,postgres,13.4.6,377
2025-03-02,elasticsearch,7.3.5,434
2024-10-15,mongodb,4.0.4,11
2024-09-11,mongodb,4.0.6,165
2024-11-06,java,11.0.4,127
2024-12-25,mysql,8.2.3,103
2024-07-30,redis,6.8.0,314
2025-03-30,node,16.2.7,110
2024-06-29,elasticsearch,7.7.0,41
2024-06-02,python,3.3.1,347
2024-09-16,postgres,13.0.0,209
2025-05-30,nginx,1.2.1,202
2025-01-03,mongodb,4.9.8,188
2024-12-25,redis,6.7.0,25
2024-08-19,java,11.5.2,116
2024-08-11,redis,6.0.0,62
2024-07-31,docker,20.4.3,109
2025-05-30,docker,20.5.2,290
2024-09-29,elasticsearch,7.9.1,427
2024-06-11,python,3.1.1,144
2025-05-05,java,11.9.9,456
2024-11-17,nginx,1.0.6,405
2025-02-28,redis,6.0.9,169
2025-05-27,docker,20.6.5,118
2025-03-09,elasticsearch,7.8.8,415
2024-10-21,redis,6.7.9,103
2024-11-09,python,3.8.3,189
2024-10-05,mongodb,4.2.8,19
2024-09-02,nginx,1.8.5,154
2025-05-15,mongodb,4.7.2,287
2025-02-02,node,16.1.0,247
2024-06-28,elasticsearch,7.9.8,195
2025-03-16,node,16.5.0,464
2025-05-14,postgres,13.5.1,3
2025-02-09,nginx,1.1.4,462
2024-07-13,python,3.8.7,110
2025-03-20,elasticsearch,7.3.4,218
2024-08-09,nginx,1.2.6,128
2024-12-20,mongodb,4.5.9,111
2025-05-16,mongodb,4.5.4,392
2025-03-29,postgres,13.6.7,422
2024-07-06,python,3.8.0,150
2024-06-29,postgres,13.2.6,399
2024-11-07,postgres,13.6.1,226
2024-06-14,docker,20.6.8,259
2025-03-19,docker,20.1.9,188
2024-07-08,elasticsearch,7.0.1,444
2024-07-07,elasticsearch,7.8.3,455
2025-04-28,python,3.8.0,438
2025-03-05,docker,20.8.0,327
2025-04-21,elasticsearch,7.7.3,146
2025-04-29,node,16.1.7,124
2025-03-08,mysql,8.4.9,319
2025-05-13,python,3.6.3,102
2024-07-12,node,16.5.5,128
2025-01-04,postgres,13.9.0,231
2024-07-30,postgres,13.4.2,210
2024-11-17,nginx,1.2.6,321
2024-12-09,elasticsearch,7.8.9,475
2025-04-29,mysql,8.5.1,428
2024-07-29,elasticsearch,7.8.8,304
2024-11-14,mysql,8.6.1,19
2025-04-04,java,11.1.1,339
2025-05-13,docker,20.8.4,65
2024-12-05,nginx,1.5.0,419
2024-11-27,elasticsearch,7.1.2,432
2025-01-14,elasticsearch,7.0.3,87
2024-08-20,python,3.5.7,12
2025-01-20,mongodb,4.6.3,310
2024-10-26,java,11.4.9,248
2024-08-03,python,3.6.8,443
2024-07-04,docker,20.8.4,224
2025-01-19,elasticsearch,7.3.5,3
2024-07-06,docker,20.3.8,368
2025-03-17,elasticsearch,7.7.1,425
2025-02-23,java,11.0.5,100
2024-06-19,java,11.2.1,465
2025-05-28,elasticsearch,7.2.4,285
2024-12-27,docker,20.1.2,138
2024-09-16,java,11.8.9,281
2024-11-10,postgres,13.4.0,111
2025-02-05,elasticsearch,7.0.6,2
2025-03-08,node,16.2.8,115
2024-08-05,java,11.5.3,336
2025-04-01,redis,6.1.3,378
2024-07-25,redis,6.6.8,313
2024-10-25,java,11.2.2,346
2024-08-31,node,16.2.3,261
2025-03-07,nginx,1.3.7,38
2024-11-06,node,16.5.9,11
2024-12-03,docker,20.1.0,381
2024-06-04,docker,20.3.1,339
2024-06-21,nginx,1.6.9,58
2024-07-31,docker,20.8.4,69
2025-02-25,elasticsearch,7.5.1,6
2025-04-12,postgres,13.7.9,201
2025-02-28,nginx,1.0.6,309
2024-10-03,python,3.2.3,158
2025-01-21,nginx,1.9.5,22
2025-01-08,redis,6.7.4,458
2024-10-02,java,11.2.5,305
2024-09-17,postgres,13.3.3,205
2024-07-08,java,11.8.7,446
2024-12-03,nginx,1.6.7,195
2025-01-23,python,3.8.1,286
2024-10-12,node,16.3.8,298
2024-07-19,elasticsearch,7.0.6,435
2024-09-21,docker,20.9.1,328
2025-03-07,mysql,8.2.9,262
2024-10-20,mongodb,4.6.1,469
2024-09-02,python,3.8.0,442
2025-04-24,mysql,8.9.5,341
2025-01-12,nginx,1.4.3,357
2024-08-17,nginx,1.4.3,339
2024-07-28,node,16.8.2,155
2024-11-21,mongodb,4.0.9,188
2024-09-23,docker,20.5.0,308
2024-10-09,nginx,1.9.5,88
2025-03-09,java,11.7.9,114
2024-08-09,python,3.7.3,136
2024-06-05,postgres,13.2.4,42
2024-12-25,docker,20.1.5,238
2024-06-12,docker,20.3.9,436
2024-11-14,mongodb,4.0.4,477
2024-10-23,mysql,8.6.9,363
2024-11-08,docker,20.3.8,169
2025-03-01,node,16.8.3,390
2025-02-03,mongodb,4.3.8,40
2024-07-01,postgres,13.9.3,418
2024-09-04,mongodb,4.8.4,332
2024-12-11,node,16.3.5,356
2025-04-23,elasticsearch,7.5.6,321
2025-02-05,mysql,8.0.5,298
2024-09-26,elasticsearch,7.4.2,231
2025-01-14,postgres,13.8.9,384
2024-11-16,mongodb,4.6.9,107
2024-06-06,mysql,8.7.2,52
2024-10-09,python,3.3.9,391
2025-03-11,redis,6.2.4,428
2024-07-14,nginx,1.5.1,299
2024-06-15,redis,6.7.0,431
2025-04-08,postgres,13.8.3,203
2025-03-05,postgres,13.2.6,48
2024-12-04,python,3.4.0,22
2025-01-07,python,3.4.7,467
2025-01-29,redis,6.5.3,451
2024-10-18,postgres,13.5.8,304
2024-10-04,java,11.6.2,273
2024-12-27,nginx,1.7.1,192
2024-08-14,postgres,13.1.2,334
2024-12-03,mongodb,4.8.4,292
2025-04-15,mysql,8.2.6,354
2024-05-31,node,16.3.1,85
2024-11-08,mongodb,4.3.8,25
2024-06-30,java,11.9.7,165
2024-10-30,java,11.3.6,443
2024-08-14,node,16.6.0,62
2025-05-13,java,11.1.8,411
2024-06-19,elasticsearch,7.0.4,27
2025-01-25,node,16.6.6,6
2025-02-01,elasticsearch,7.4.1,335
2025-05-30,nginx,1.7.3,333
2024-12-20,node,16.0.1,3
2025-03-31,mongodb,4.7.7,447
2024-07-25,python,3.3.1,131
2024-09-01,node,16.9.9,263
2024-07-27,python,3.2.7,97
2025-01-11,postgres,13.2.3,302
2024-11-08,python,3.0.5,420
2025-02-15,docker,20.5.9,470
2025-03-20,nginx,1.4.0,384
2024-09-12,elasticsearch,7.1.5,419
2024-11-17,mysql,8.1.8,179
2025-01-16,node,16.5.7,72
2025-02-10,redis,6.4.6,374
2025-02-24,postgres,13.7.2,351
2024-09-02,nginx,1.8.9,399
2024-09-30,python,3.1.1,302
2024-05-31,docker,20.3.2,59
2025-02-05,nginx,1.8.0,204
2024-11-18,nginx,1.1.4,438
2024-06-25,elasticsearch,7.1.0,165
2024-11-25,postgres,13.8.0,409
2025-03-25,docker,20.7.3,424
2024-07-21,java,11.5.6,306
2024-10-31,python,3.8.5,23
2025-05-09,mysql,8.8.7,129
2024-11-14,elasticsearch,7.5.5,430
2025-02-19,mysql,8.5.2,86
2024-08-15,elasticsearch,7.4.9,176
2025-02-28,mongodb,4.0.3,356
2024-09-18,redis,6.6.2,238
2024-08-27,nginx,1.1.5,123
2024-12-06,mongodb,4.4.7,175
2025-02-25,java,11.4.0,369
2025-02-19,nginx,1.2.8,17
2025-01-05,mongodb,4.4.5,448
2025-04-26,python,3.9.5,275
2024-10-15,postgres,13.4.5,44
2024-12-03,node,16.3.3,362
2024-09-07,java,11.0.6,473
2025-05-18,node,16.2.4,114
2025-03-28,elasticsearch,7.6.4,47
2024-11-20,mongodb,4.6.2,343
2024-08-13,python,3.5.2,362
2025-02-27,nginx,1.7.8,127
2025-04-13,postgres,13.3.0,349
2024-09-07,nginx,1.9.4,478
2024-11-29,nginx,1.9.9,296
2025-01-19,elasticsearch,7.8.4,247
2024-09-24,redis,6.3.4,206
2025-01-25,node,16.6.1,233
2025-01-15,docker,20.8.2,161
2024-06-12,mongodb,4.9.4,24
2024-09-10,mysql,8.2.4,177
2024-11-07,nginx,1.5.4,41
2024-11-14,mysql,8.0.3,28
2025-04-10,java,11.3.8,106
2025-04-27,redis,6.6.2,40
2024-10-26,node,16.8.0,127
2024-09-09,docker,20.6.2,41
2024-10-31,nginx,1.9.8,132
2025-04-02,mysql,8.9.2,431
2025-03-24,java,11.8.2,313
2024-10-18,docker,20.8.8,403
2025-02-11,postgres,13.5.5,93
2024-10-10,mongodb,4.6.0,153
2024-07-16,postgres,13.1.3,241
2025-03-29,java,11.1.8,255
2024-10-02,elasticsearch,7.8.4,417
2024-12-20,java,11.1.8,387
2024-06-12,python,3.3.3,438
2024-10-20,node,16.5.3,46
2025-04-20,python,3.9.6,61
2024-08-20,java,11.3.7,379
2024-10-14,redis,6.0.8,239
2024-06-13,mongodb,4.3.3,244
2025-04-09,mongodb,4.4.6,124
2025-05-30,mongodb,4.9.2,69
2024-12-06,python,3.7.6,35
2024-09-06,postgres,13.0.4,271
2025-03-21,postgres,13.8.8,21
2025-02-26,node,16.0.5,395
2024-07-03,elasticsearch,7.0.5,460
2024-07-26,python,3.8.9,386
2024-11-20,mysql,8.1.5,329
2024-12-07,node,16.0.3,104
2024-09-23,python,3.7.7,306
2024-07-13,node,16.6.7,323
2024-08-08,postgres,13.5.9,28
2024-11-16,elasticsearch,7.1.6,326
2025-05-15,mysql,8.7.4,201
2025-05-20,docker,20.6.9,202
2024-07-19,redis,6.6.1,281
2025-03-09,java,11.6.4,10
2025-03-26,nginx,1.2.6,56
2024-06-16,postgres,13.3.6,310
2024-11-02,postgres,13.3.9,131
2024-10-05,postgres,13.8.3,153
2024-11-29,postgres,13.8.1,249
2024-06-21,mongodb,4.9.3,145
2024-10-25,elasticsearch,7.7.4,189
2024-11-25,redis,6.7.1,432
2024-09-15,postgres,13.6.7,1
2025-04-23,java,11.3.9,191
2024-09-04,postgres,13.0.1,96
2025-05-20,docker,20.4.9,299
2024-09-21,nginx,1.7.1,411
2024-10-12,nginx,1.8.3,372
2024-06-12,nginx,1.0.0,185
2025-02-05,python,3.8.5,112
2024-07-01,postgres,13.8.5,339
2025-03-07,redis,6.7.6,252
2024-09-27,mongodb,4.4.3,103
2024-07-22,docker,20.9.7,176
2024-08-07,redis,6.4.0,360
2024-10-19,docker,20.5.4,203
2024-10-09,postgres,13.1.1,294
2025-01-01,java,11.3.0,107
2024-07-20,elasticsearch,7.7.4,96
2024-12-22,redis,6.6.6,404
2024-11-04,mysql,8.7.7,376
2024-12-03,nginx,1.9.6,122
2025-02-20,mysql,8.8.1,322
2024-10-14,postgres,13.4.8,358
2024-08-14,python,3.6.9,439
2024-11-09,elasticsearch,7.5.7,392
2025-04-08,mongodb,4.9.0,364
2025-03-05,docker,20.2.4,81
2024-09-21,mysql,8.8.8,63
2024-12-12,elasticsearch,7.0.2,388
2025-03-27,node,16.0.1,247
2024-08-28,python,3.5.5,399
2024-06-28,mysql,8.0.1,86
2025-01-23,elasticsearch,7.6.8,403
2024-10-24,redis,6.1.5,427
2024-08-03,java,11.8.8,73
2024-06-25,docker,20.8.1,329
2024-12-03,java,11.3.9,197
2024-06-17,node,16.0.7,11
2024-08-12,redis,6.4.9,331
2025-03-03,redis,6.9.3,207
2024-11-20,postgres,13.9.2,306
2024-08-04,mysql,8.9.9,452
2025-05-23,mysql,8.5.9,54
2024-10-09,java,11.0.7,172
2025-04-10,mysql,8.5.0,357
2024-12-18,java,11.9.9,476
2025-02-02,elasticsearch,7.6.4,221
2025-05-19,postgres,13.9.1,412
2024-12-12,docker,20.6.2,105
2025-04-26,docker,20.3.2,349
2024-11-05,mysql,8.0.7,305
2024-08-20,elasticsearch,7.9.9,141
2024-10-10,node,16.8.1,97
2025-02-25,node,16.0.9,337
2025-05-13,mysql,8.5.4,429
2024-06-05,postgres,13.5.1,69
2024-11-08,nginx,1.4.3,331
2024-06-11,docker,20.8.2,389
2024-06-21,elasticsearch,7.2.5,347
2025-04-25,redis,6.3.3,137
2024-09-14,mongodb,4.0.6,366
2024-06-12,python,3.0.8,49
2025-04-22,node,16.6.5,408
2025-03-07,java,11.0.8,456
2024-12-18,elasticsearch,7.8.2,253
2024-06-03,node,16.2.9,369
2024-11-27,redis,6.3.9,298
2024-06-22,node,16.9.5,420
2024-09-25,postgres,13.6.3,236
2024-11-12,nginx,1.5.7,435
